Label,header text,file name,header index
Not Age,Last Name,19-011 Usability Testing__Sheet1.csv,4
Not Age,Company,19-011 Usability Testing__Sheet1.csv,5
Not Age,Address 1,19-011 Usability Testing__Sheet1.csv,6
Not Age,Address 2,19-011 Usability Testing__Sheet1.csv,7
Not Age,Zip Code,19-011 Usability Testing__Sheet1.csv,8
Not Age,City,19-011 Usability Testing__Sheet1.csv,9
Not Age,State,19-011 Usability Testing__Sheet1.csv,10
Not Age,Phone,19-011 Usability Testing__Sheet1.csv,11
Not Age,Email Address,19-011 Usability Testing__Sheet1.csv,12
Not Age,Sessions may be audio/video recorded at the facility for internal use and market research purposes only. Are you ok with that?,19-011 Usability Testing__Sheet1.csv,13
Not Age,Would you like to be included in our database to be contacted for future survey opportunities?,19-011 Usability Testing__Sheet1.csv,14
Not Age,Do you work in any of the following industries or professions?,19-011 Usability Testing__Sheet1.csv,15
Not Age,"Do you or any of your immediate relatives currently work for (or have worked in the last year) as an employee, intern, contractor, or vendor for: Amazon, Apple, Google or Microsoft?",19-011 Usability Testing__Sheet1.csv,16
Not Age,"Please indicate which of the following firms you have ever worked at, including temporary and contract positions.",19-011 Usability Testing__Sheet1.csv,17
Not Age,Have you ever helped companies evaluate products or services by participating in a usability study or in-person market research study such as a focus group?,19-011 Usability Testing__Sheet1.csv,18
Not Age,How long ago did you participate in a usability or in-person market research study?,19-011 Usability Testing__Sheet1.csv,19
Not Age,What is your current employment status?,19-011 Usability Testing__Sheet1.csv,20
Not Age,What is the name of your company?,19-011 Usability Testing__Sheet1.csv,21
Not Age,What is your company's primary business?,19-011 Usability Testing__Sheet1.csv,22
Not Age,What is your professional title?,19-011 Usability Testing__Sheet1.csv,23
Not Age,What is your role in the company?,19-011 Usability Testing__Sheet1.csv,24
Not Age,Which of the following best describes the number of people who work for your organization worldwide?  Please take into account all branches and locations.,19-011 Usability Testing__Sheet1.csv,25
Not Age,"Are you responsible in some way for deciding upon, researching, or recommending partner products, services, and/or solutions to assist with your client's needs (e.g. system integration, migration, software sales, etc.)?",19-011 Usability Testing__Sheet1.csv,26
Not Age,Which of the following best describes your PRIMARY ROLE at work?,19-011 Usability Testing__Sheet1.csv,27
Not Age,"Thinking of the technologies, products, or services you influenced in the past 12 months, what part(s) of your organization benefited from them?  Please select the highest level of the organization that you influenced.",19-011 Usability Testing__Sheet1.csv,28
Not Age,Do you personally control a portion of the budget for your selection from the last question?,19-011 Usability Testing__Sheet1.csv,29
Not Age,"Do you play a role in deciding the requirements for the technologies, products, or services used/purchased in their organization?",19-011 Usability Testing__Sheet1.csv,30
Not Age,"Which of the following ways do you research technologies, products, or services used/purchased to assist you in your business?  Please select all that apply.",19-011 Usability Testing__Sheet1.csv,31
Not Age,Which of the following statements best describe your company?,19-011 Usability Testing__Sheet1.csv,32
Not Age,How long has your company been an official Microsoft Partner?,19-011 Usability Testing__Sheet1.csv,33
Not Age,How likely are you to consider becoming an official Microsoft Partner?,19-011 Usability Testing__Sheet1.csv,34
Not Age,"Tell me more about why you might ""possibly"" become a Microsoft Partner.",19-011 Usability Testing__Sheet1.csv,35
Not Age,"Please indicate your impression of these brands.
 [ Amazon ] ",19-011 Usability Testing__Sheet1.csv,36
Not Age,"Please indicate your impression of these brands.
 [ Apple ] ",19-011 Usability Testing__Sheet1.csv,37
Not Age,"Please indicate your impression of these brands.
 [ Google ] ",19-011 Usability Testing__Sheet1.csv,38
Not Age,"Please indicate your impression of these brands.
 [ IBM ] ",19-011 Usability Testing__Sheet1.csv,39
Not Age,"Please indicate your impression of these brands.
 [ Microsoft ] ",19-011 Usability Testing__Sheet1.csv,40
Not Age,"Please indicate your impression of these brands.
 [ SAP ] ",19-011 Usability Testing__Sheet1.csv,41
Not Age,"For demographic purposes only, what gender do you most closely identify with?",19-011 Usability Testing__Sheet1.csv,42
Age,What is your current age?,19-011 Usability Testing__Sheet1.csv,43
Not Age,"The interviews for this study will be video recorded for research purposes only.  If selected to participate, are you agreeable to this?",19-011 Usability Testing__Sheet1.csv,44
Not Age,"When using a computer, do you require any assistive technology such as a screen reader, magnification, or special input devices?",19-011 Usability Testing__Sheet1.csv,45
